"Crash ID","State","Month","MonthName","Year","Crash Type","Road User","Gender","AgeGroup"
5527914538615922700,"VIC",3,"March",2021,"Single","Pedestrian","Female","65 and over"
8999881680910876700,"VIC",11,"November",2024,"Single","Driver","Male","40-64"
2795009360625897500,"NSW",5,"May",2024,"Single","Pedestrian","Male","26-39"
120221303786,"NSW",10,"October",2022,"Single","Passenger","Male","26-39"
526625136486099710,"VIC",3,"March",2020,"Single","Pedestrian","Female","0-16"
120221301275,"NSW",9,"September",2022,"Multiple","Pedestrian","Male","26-39"
4202014348,"WA",8,"August",2020,"Single","Driver","Male","40-64"
320210001439,"QLD",1,"January",2021,"Single","Pedestrian","Male","17-25"
1425960542770897410,"NSW",7,"July",2024,"Single","Pedestrian","Male","65 and over"
326356094942748100,"NSW",4,"April",2024,"Single","Driver","Male","17-25"
7483787655455647700,"TAS",7,"July",2021,"Multiple","Passenger","Male","26-39"
1202961023568861440,"VIC",6,"June",2024,"Single","Pedestrian","Female","40-64"
120201238312,"NSW",8,"August",2020,"Multiple","Driver","Male","26-39"
5253507615666122800,"NSW",4,"April",2023,"Single","Driver","Male","17-25"
120211268957,"NSW",7,"July",2021,"Single","Motorcycle rider","Male","40-64"
7053889719453154300,"VIC",4,"April",2020,"Multiple","Pedestrian","?","Unknown"
320212112639,"QLD",11,"November",2021,"Single","Driver","Female","26-39"
320211329836,"QLD",7,"July",2021,"Multiple","Passenger","Female","26-39"
3268740371342923800,"QLD",9,"September",2024,"Multiple","Driver","Male","17-25"
520212100045720,"SA",2,"February",2021,"Single","Driver","Male","40-64"
120221301292,"NSW",10,"October",2022,"Single","Passenger","Male","0-16"
120221292287,"NSW",6,"June",2022,"Single","Passenger","Male","17-25"
894913973051731200,"QLD",8,"August",2024,"Multiple","Driver","Male","17-25"
120201221459,"NSW",1,"January",2020,"Single","Pedestrian","Female","65 and over"
8043000151246494700,"SA",8,"August",2024,"Multiple","Motorcycle rider","Male","65 and over"
520212100127862,"SA",6,"June",2021,"Multiple","Motorcycle rider","Male","17-25"
5822836467170737200,"VIC",2,"February",2020,"Single","Driver","Male","65 and over"
320211192923,"QLD",6,"June",2021,"Single","Passenger","Male","40-64"
7930926370520905700,"VIC",11,"November",2023,"Multiple","Motorcycle rider","Male","65 and over"
320202069336,"QLD",10,"October",2020,"Multiple","Passenger","Female","40-64"
5529723794124719100,"NSW",4,"April",2023,"Multiple","Pedestrian","Male","40-64"
8345421908524749800,"VIC",2,"February",2024,"Multiple","Motorcycle rider","Male","17-25"
657975103036094460,"QLD",5,"May",2023,"Single","Driver","Male","40-64"
2402437835707993600,"NSW",5,"May",2023,"Single","Driver","Male","65 and over"
120211254833,"NSW",2,"February",2021,"Single","Driver","Male","40-64"
4202114767,"WA",10,"October",2021,"Single","Motorcycle rider","Male","40-64"
526756868868129600,"QLD",6,"June",2024,"Multiple","Driver","Female","40-64"
4202014228,"WA",4,"April",2020,"Single","Driver","Male","17-25"
6198448970977098800,"VIC",12,"December",2021,"Multiple","Motorcycle rider","Male","65 and over"
7204522608649541600,"SA",12,"December",2024,"Single","Pedestrian","Female","40-64"
583261659410148740,"QLD",9,"September",2022,"Multiple","Driver","Male","26-39"
6911401365051503600,"WA",2,"February",2024,"Multiple","Passenger","Female","65 and over"
120221307859,"NSW",12,"December",2022,"Single","Pedestrian","Male","65 and over"
620202251,"TAS",11,"November",2020,"Multiple","Motorcycle rider","Male","26-39"
320202421896,"QLD",11,"November",2020,"Single","Driver","Male","17-25"
3358572586436639700,"VIC",10,"October",2021,"Single","Driver","Male","17-25"
6477396772880136200,"VIC",1,"January",2023,"Multiple","Passenger","Male","40-64"
5650727632834754600,"NSW",4,"April",2024,"Single","Pedestrian","Male","65 and over"
489260691992918850,"VIC",7,"July",2021,"Multiple","Motorcycle rider","Male","26-39"
320210840492,"QLD",5,"May",2021,"Multiple","Driver","Male","26-39"
2874229527715875800,"NSW",11,"November",2023,"Single","Passenger","Male","17-25"
1660982812975270660,"QLD",4,"April",2023,"Single","Driver","Male","65 and over"
5185474076371323900,"NSW",12,"December",2023,"Single","Driver","Male","40-64"
820211239994,"ACT",1,"January",2021,"Single","Passenger","Male","17-25"
6740520013429877800,"VIC",11,"November",2024,"Multiple","Passenger","Female","40-64"
520222200298072,"SA",12,"December",2022,"Single","Driver","Male","17-25"
120211251908,"NSW",1,"January",2021,"Single","Passenger","Female","17-25"
5927807820796612600,"VIC",9,"September",2023,"Single","Driver","Male","40-64"
5248823696284007400,"NSW",5,"May",2024,"Single","Driver","Male","17-25"
2996638661696553000,"QLD",10,"October",2022,"Single","Driver","Male","40-64"
8304733266518531100,"VIC",9,"September",2023,"Single","Driver","Female","26-39"
6878745519961543700,"VIC",12,"December",2022,"Single","Pedestrian","Female","65 and over"
120221303202,"NSW",10,"October",2022,"Single","Pedestrian","Female","65 and over"
1128729819703806080,"VIC",11,"November",2024,"Single","Driver","Female","17-25"
120201234817,"NSW",6,"June",2020,"Multiple","Driver","Male","65 and over"
520212100260074,"SA",11,"November",2021,"Multiple","Pedal cyclist","Male","40-64"
3258936034433063900,"WA",4,"April",2023,"Multiple","Driver","Male","65 and over"
120201242563,"NSW",9,"September",2020,"Single","Driver","Male","65 and over"
