"YEAR","STATE","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2024,"NSW","40-64","Non Wearing Seatbelts","Manual Detection",151,0,2
2024,"NSW","40-64","Speed Fines","Manual Detection",1888,0,10
2024,"NSW","40-64","Unlicensed Driving","Manual Detection",109,0,431
2024,"NSW","65 and over","Mobile Phone Use","Manual Detection",31,0,0
2024,"NSW","65 and over","Non Wearing Seatbelts","Manual Detection",24,0,0
2024,"NSW","65 and over","Speed Fines","Manual Detection",285,0,0
2024,"NSW","65 and over","Unlicensed Driving","Manual Detection",9,0,29
2024,"NSW","0-16","Non Wearing Seatbelts","Manual Detection",1,0,1
2024,"NSW","0-16","Speed Fines","Manual Detection",2,0,0
2024,"NSW","0-16","Unlicensed Driving","Manual Detection",0,0,2
2024,"NSW","17-25","Mobile Phone Use","Manual Detection",6,0,0
2024,"NSW","17-25","Non Wearing Seatbelts","Manual Detection",17,0,0
2024,"NSW","17-25","Speed Fines","Manual Detection",347,0,1
2024,"NSW","17-25","Unlicensed Driving","Manual Detection",14,0,47
2024,"NSW","26-39","Mobile Phone Use","Manual Detection",11,0,0
2024,"NSW","26-39","Non Wearing Seatbelts","Manual Detection",43,0,0
2024,"NSW","26-39","Speed Fines","Manual Detection",639,0,1
2024,"NSW","26-39","Unlicensed Driving","Manual Detection",24,0,58
2024,"NSW","40-64","Mobile Phone Use","Manual Detection",3,0,0
2024,"NSW","40-64","Non Wearing Seatbelts","Manual Detection",20,0,6
2024,"NSW","40-64","Speed Fines","Manual Detection",732,0,1
2024,"NSW","40-64","Unlicensed Driving","Manual Detection",13,0,36
2024,"NSW","65 and over","Mobile Phone Use","Manual Detection",2,0,0
2024,"NSW","65 and over","Non Wearing Seatbelts","Manual Detection",8,0,0
2024,"NSW","65 and over","Speed Fines","Manual Detection",194,0,0
2024,"NSW","65 and over","Unlicensed Driving","Manual Detection",1,0,3
2024,"NSW","0-16","Speed Fines","Manual Detection",1,0,0
2024,"NSW","17-25","Mobile Phone Use","Manual Detection",1,0,1
2024,"NSW","17-25","Non Wearing Seatbelts","Manual Detection",6,0,1
2024,"NSW","17-25","Speed Fines","Manual Detection",28,0,0
2024,"NSW","17-25","Unlicensed Driving","Manual Detection",0,0,4
2024,"NSW","26-39","Non Wearing Seatbelts","Manual Detection",9,0,0
2024,"NSW","26-39","Speed Fines","Manual Detection",55,0,0
2024,"NSW","26-39","Unlicensed Driving","Manual Detection",2,0,9
2024,"NSW","40-64","Non Wearing Seatbelts","Manual Detection",3,0,0
2024,"NSW","40-64","Speed Fines","Manual Detection",54,0,0
2024,"NSW","40-64","Unlicensed Driving","Manual Detection",1,0,9
2024,"NSW","65 and over","Non Wearing Seatbelts","Manual Detection",3,0,0
2024,"NSW","65 and over","Speed Fines","Manual Detection",21,0,0
2024,"NSW","0-16","Speed Fines","Manual Detection",2,0,0
2024,"NSW","0-16","Unlicensed Driving","Manual Detection",1,0,3
2024,"NSW","17-25","Mobile Phone Use","Manual Detection",12,0,1
2024,"NSW","17-25","Non Wearing Seatbelts","Manual Detection",11,0,0
2024,"NSW","17-25","Speed Fines","Manual Detection",96,0,5
2024,"NSW","17-25","Unlicensed Driving","Manual Detection",6,0,51
2024,"NSW","26-39","Mobile Phone Use","Manual Detection",14,0,0
2024,"NSW","26-39","Non Wearing Seatbelts","Manual Detection",17,0,0
2024,"NSW","26-39","Speed Fines","Manual Detection",136,0,2
2024,"NSW","26-39","Unlicensed Driving","Manual Detection",18,0,57
2024,"NSW","40-64","Mobile Phone Use","Manual Detection",10,0,0
2024,"NSW","40-64","Non Wearing Seatbelts","Manual Detection",15,0,0
2024,"NSW","40-64","Speed Fines","Manual Detection",126,0,0
2024,"NSW","40-64","Unlicensed Driving","Manual Detection",8,0,52
2024,"NSW","65 and over","Mobile Phone Use","Manual Detection",2,0,0
2024,"NSW","65 and over","Non Wearing Seatbelts","Manual Detection",3,0,0
2024,"NSW","65 and over","Speed Fines","Manual Detection",26,0,0
2024,"NSW","65 and over","Unlicensed Driving","Manual Detection",0,0,2
2024,"NSW","Unknown","Mobile Phone Use","Auto detection camera",13537,0,0
2024,"NSW","Unknown","Speed Fines","Auto detection camera",28498,0,0
2024,"NSW","Unknown","Speed Fines","Auto detection camera",2870,0,0
2024,"NSW","Unknown","Speed Fines","Auto detection camera",17764,0,0
2024,"NSW","Unknown","Speed Fines","Unknown",1,0,0
2024,"NSW","0-16","Unlicensed Driving","Manual Detection",0,0,1
2024,"NSW","17-25","Non Wearing Seatbelts","Manual Detection",1,0,0
2024,"NSW","17-25","Speed Fines","Manual Detection",2,0,0
2024,"NSW","17-25","Unlicensed Driving","Manual Detection",0,0,4
2024,"NSW","26-39","Non Wearing Seatbelts","Manual Detection",2,0,0
2024,"NSW","26-39","Speed Fines","Manual Detection",4,0,0
2024,"NSW","26-39","Unlicensed Driving","Manual Detection",0,0,3
2024,"NSW","40-64","Non Wearing Seatbelts","Manual Detection",1,0,0
2024,"NSW","40-64","Speed Fines","Manual Detection",5,0,0
2024,"NSW","40-64","Unlicensed Driving","Manual Detection",1,0,2
2024,"NSW","65 and over","Unlicensed Driving","Manual Detection",0,0,2
2024,"NT","0-16","Non Wearing Seatbelts","Manual Detection",0,0,3
2024,"NT","0-16","Speed Fines","Auto detection camera",3,0,0
2024,"NT","0-16","Speed Fines","Other",0,1,1
2024,"NT","0-16","Speed Fines","Manual Detection",2,0,0
2024,"NT","0-16","Unlicensed Driving","Manual Detection",0,18,35
2024,"NT","17-25","Mobile Phone Use","Manual Detection",1,0,0
2024,"NT","17-25","Non Wearing Seatbelts","Manual Detection",6,0,3
2024,"NT","17-25","Speed Fines","Auto detection camera",84,0,0
2024,"NT","17-25","Speed Fines","Auto detection camera",460,0,0
2024,"NT","17-25","Speed Fines","Other",0,0,4
2024,"NT","17-25","Speed Fines","Manual Detection",34,0,0
2024,"NT","17-25","Unlicensed Driving","Manual Detection",0,13,45
2024,"NT","26-39","Mobile Phone Use","Manual Detection",6,0,1
2024,"NT","26-39","Non Wearing Seatbelts","Manual Detection",17,0,14
2024,"NT","26-39","Speed Fines","Auto detection camera",380,0,0
2024,"NT","26-39","Speed Fines","Auto detection camera",1254,0,0
2024,"NT","26-39","Speed Fines","Other",0,1,3
2024,"NT","26-39","Speed Fines","Manual Detection",46,0,0
2024,"NT","26-39","Unlicensed Driving","Manual Detection",6,12,56
2024,"NT","40-64","Mobile Phone Use","Manual Detection",1,0,0
2024,"NT","40-64","Non Wearing Seatbelts","Manual Detection",13,0,7
2024,"NT","40-64","Speed Fines","Auto detection camera",511,0,0
2024,"NT","40-64","Speed Fines","Auto detection camera",1575,0,0
2024,"NT","40-64","Speed Fines","Other",0,0,1
2024,"NT","40-64","Speed Fines","Manual Detection",45,0,0
2024,"NT","40-64","Unlicensed Driving","Manual Detection",7,4,29
2024,"NT","65 and over","Non Wearing Seatbelts","Manual Detection",1,0,0
2024,"NT","65 and over","Speed Fines","Auto detection camera",83,0,0
2024,"NT","65 and over","Speed Fines","Auto detection camera",381,0,0
2024,"NT","65 and over","Speed Fines","Other",0,0,1
2024,"NT","65 and over","Speed Fines","Manual Detection",5,0,0
2024,"NT","Unknown","Speed Fines","Auto detection camera",25,0,0
2024,"NT","Unknown","Speed Fines","Auto detection camera",112,0,0
2024,"QLD","0-16","Mobile Phone Use","Auto detection camera",162,0,0
2024,"QLD","0-16","Mobile Phone Use","Manual Detection",2,0,0
2024,"QLD","0-16","Non Wearing Seatbelts","Auto detection camera",42,0,0
2024,"QLD","0-16","Speed Fines","Auto detection camera",602,0,0
2024,"QLD","0-16","Speed Fines","Auto detection camera",748,0,0
2024,"QLD","0-16","Speed Fines","Manual Detection",4,0,0
2024,"QLD","0-16","Unlicensed Driving","Manual Detection",59,0,0
2024,"QLD","17-25","Mobile Phone Use","Auto detection camera",864,0,0
2024,"QLD","17-25","Mobile Phone Use","Manual Detection",64,0,0
2024,"QLD","17-25","Non Wearing Seatbelts","Auto detection camera",386,0,0
2024,"QLD","17-25","Non Wearing Seatbelts","Manual Detection",99,0,0
2024,"QLD","17-25","Speed Fines","Auto detection camera",2530,0,0
2024,"QLD","17-25","Speed Fines","Auto detection camera",5118,0,0
2024,"QLD","17-25","Speed Fines","Manual Detection",1991,0,0
2024,"QLD","17-25","Unlicensed Driving","Manual Detection",622,0,0
2024,"QLD","26-39","Mobile Phone Use","Auto detection camera",2545,0,0
2024,"QLD","26-39","Mobile Phone Use","Manual Detection",105,0,0
2024,"QLD","26-39","Non Wearing Seatbelts","Auto detection camera",1150,0,0
2024,"QLD","26-39","Non Wearing Seatbelts","Manual Detection",116,0,0
2024,"QLD","26-39","Speed Fines","Auto detection camera",6221,0,0
2024,"QLD","26-39","Speed Fines","Auto detection camera",10612,0,0
2024,"QLD","26-39","Speed Fines","Manual Detection",2825,0,0
2024,"QLD","26-39","Unlicensed Driving","Manual Detection",1013,0,0
2024,"QLD","40-64","Mobile Phone Use","Auto detection camera",2472,0,0
2024,"QLD","40-64","Mobile Phone Use","Manual Detection",53,0,0
2024,"QLD","40-64","Non Wearing Seatbelts","Auto detection camera",1157,0,0
2024,"QLD","40-64","Non Wearing Seatbelts","Manual Detection",93,0,0
2024,"QLD","40-64","Speed Fines","Auto detection camera",9251,0,0
2024,"QLD","40-64","Speed Fines","Auto detection camera",15185,0,0
2024,"QLD","40-64","Speed Fines","Manual Detection",3245,0,0
