"YEAR","METRIC","STATE","Total_Fines","Percentage"
2021,"Speed Fines","NSW",1452620,88.77445755800878
2022,"Speed Fines","VIC",1378231,98.08419166338706
2023,"Speed Fines","VIC",1302628,93.58907762927136
2021,"Speed Fines","VIC",1231672,98.25267873667013
2022,"Speed Fines","NSW",1217596,84.849008546949
2021,"Speed Fines","QLD",978926,97.1282010576761
2020,"Speed Fines","VIC",937192,96.99973089900432
2020,"Speed Fines","NSW",915316,84.8488219355353
2020,"Speed Fines","QLD",910858,98.81415378139683
2024,"Speed Fines","NSW",905672,78.21042250650694
2023,"Speed Fines","NSW",881483,79.01212767673871
2023,"Speed Fines","QLD",860626,85.53663522997091
2022,"Speed Fines","QLD",849399,82.70963470030624
2022,"Speed Fines","WA",843541,98.99867734337316
2021,"Speed Fines","WA",809544,99.17126970301688
2023,"Speed Fines","WA",807487,99.08873707990914
2024,"Speed Fines","QLD",794883,85.02495502106147
2024,"Speed Fines","VIC",773470,87.02025901203704
2020,"Speed Fines","WA",695586,98.48600907007004
2024,"Speed Fines","WA",472833,98.40969542576705
2023,"Mobile Phone Use","NSW",216042,19.36502245368088
2022,"Mobile Phone Use","NSW",207697,14.473507245568861
2023,"Speed Fines","SA",203602,92.83584267306236
2021,"Speed Fines","SA",202693,96.43965057856273
2022,"Speed Fines","SA",186196,96.06397523539275
2024,"Speed Fines","SA",184581,93.06949164506922
2020,"Speed Fines","SA",175237,94.46891324387995
2021,"Mobile Phone Use","NSW",174082,10.63873216712787
2024,"Mobile Phone Use","NSW",161997,13.989450722542603
2020,"Mobile Phone Use","NSW",151725,14.064746500846805
2022,"Mobile Phone Use","QLD",121639,11.844512714649477
2021,"Speed Fines","ACT",113807,99.47207873368819
2024,"Non Wearing Seatbelts","NSW",80970,6.992264208622842
2023,"Mobile Phone Use","QLD",80292,7.980130179526094
2024,"Mobile Phone Use","QLD",75334,8.058129261232969
2024,"Speed Fines","TAS",74993,91.27011172504442
2023,"Speed Fines","ACT",71961,99.14168411771189
2024,"Speed Fines","ACT",68846,71.4696508839498
2023,"Speed Fines","TAS",65040,93.2179097632288
2020,"Speed Fines","ACT",57612,98.36938890501476
2022,"Non Wearing Seatbelts","QLD",55927,5.445852585044281
2024,"Mobile Phone Use","VIC",55075,6.196285266510583
2024,"Non Wearing Seatbelts","VIC",53204,5.9857859522365695
2023,"Mobile Phone Use","VIC",49546,3.5596996534850156
2024,"Speed Fines","NT",48055,96.66291185581525
2023,"Speed Fines","NT",43306,96.95517843549904
2022,"Speed Fines","TAS",42737,93.72149122807018
2020,"Speed Fines","NT",40921,94.26195521975491
2020,"Speed Fines","TAS",40751,92.5128833798724
2024,"Non Wearing Seatbelts","QLD",39530,4.228341116846832
2021,"Speed Fines","TAS",39228,91.90113623052595
2021,"Speed Fines","NT",38648,96.42714570858284
2023,"Non Wearing Seatbelts","QLD",37530,3.7300638374634376
2022,"Speed Fines","NT",33642,95.81885502705781
2023,"Non Wearing Seatbelts","VIC",30400,2.18412928321044
2023,"Unlicensed Driving","QLD",27701,2.75317075303956
2024,"Mobile Phone Use","ACT",27125,28.15870610096648
2024,"Unlicensed Driving","QLD",25135,2.6885746008587184
2020,"Mobile Phone Use","VIC",21231,2.197416630441533
2022,"Mobile Phone Use","VIC",19428,1.3826272051900472
2021,"Mobile Phone Use","QLD",18547,1.8402174883665552
2021,"Mobile Phone Use","VIC",15562,1.2414085783390876
2020,"Non Wearing Seatbelts","NSW",11720,1.0864315636178912
2021,"Non Wearing Seatbelts","QLD",10397,1.0315814539573556
2023,"Non Wearing Seatbelts","NSW",10246,0.9184048474852774
2022,"Non Wearing Seatbelts","NSW",9722,0.6774842074821518
2021,"Non Wearing Seatbelts","NSW",9602,0.5868102748633506
2024,"Unlicensed Driving","NSW",9355,0.8078625623276113
2023,"Unlicensed Driving","VIC",9285,0.6670934340331887
