"YEAR","STATE","Total_Fines","Latitude","Longitude","Color_Hex"
2021,"NSW",1636304,-32.7,147.5,"#d73027"
2022,"NSW",1435015,-32.7,147.5,"#d73027"
2022,"VIC",1405151,-37,145,"#d73027"
2023,"VIC",1391859,-37,145,"#d73027"
2021,"VIC",1253576,-37,145,"#d73027"
2024,"NSW",1157994,-32.7,147.5,"#d73027"
2023,"NSW",1115630,-32.7,147.5,"#d73027"
2020,"NSW",1078761,-32.7,147.5,"#d73027"
2022,"QLD",1026965,-22,145,"#d73027"
2021,"QLD",1007870,-22,145,"#d73027"
2023,"QLD",1006149,-22,145,"#d73027"
2020,"VIC",966180,-37,145,"#d73027"
2024,"QLD",934882,-22,145,"#d73027"
2020,"QLD",921789,-22,145,"#d73027"
2024,"VIC",888839,-37,145,"#d73027"
2022,"WA",852073,-25,120,"#d73027"
2021,"WA",816309,-25,120,"#d73027"
2023,"WA",814913,-25,120,"#d73027"
2020,"WA",706279,-25,120,"#d73027"
2024,"WA",480474,-25,120,"#d73027"
2023,"SA",219314,-30,135,"#d73027"
2021,"SA",210176,-30,135,"#d73027"
2024,"SA",198326,-30,135,"#d73027"
2022,"SA",193825,-30,135,"#d73027"
2020,"SA",185497,-30,135,"#d73027"
2021,"ACT",114411,-35.3,149.1,"#d73027"
2024,"ACT",96329,-35.3,149.1,"#fee090"
2024,"TAS",82166,-42,147,"#fee090"
2023,"ACT",72584,-35.3,149.1,"#fee090"
2023,"TAS",69772,-42,147,"#fee090"
2020,"ACT",58567,-35.3,149.1,"#fee090"
2024,"NT",49714,-12,131,"#1a9850"
2022,"TAS",45600,-42,147,"#1a9850"
2023,"NT",44666,-12,131,"#1a9850"
2020,"TAS",44049,-42,147,"#1a9850"
2020,"NT",43412,-12,131,"#1a9850"
2021,"TAS",42685,-42,147,"#1a9850"
2021,"NT",40080,-12,131,"#1a9850"
2022,"NT",35110,-12,131,"#1a9850"
2022,"ACT",415,-35.3,149.1,"#91bfdb"
