"YEAR","AGE_GROUP","METRIC","FINES","STATE"
2024,"40-64","Non Wearing Seatbelts",151,"NSW"
2024,"40-64","Speed Fines",1888,"NSW"
2024,"40-64","Unlicensed Driving",109,"NSW"
2024,"65 and over","Mobile Phone Use",31,"NSW"
2024,"65 and over","Non Wearing Seatbelts",24,"NSW"
2024,"65 and over","Speed Fines",285,"NSW"
2024,"65 and over","Unlicensed Driving",9,"NSW"
2024,"0-16","Non Wearing Seatbelts",1,"NSW"
2024,"0-16","Speed Fines",2,"NSW"
2024,"0-16","Unlicensed Driving",0,"NSW"
2024,"17-25","Mobile Phone Use",6,"NSW"
2024,"17-25","Non Wearing Seatbelts",17,"NSW"
2024,"17-25","Speed Fines",347,"NSW"
2024,"17-25","Unlicensed Driving",14,"NSW"
2024,"26-39","Mobile Phone Use",11,"NSW"
2024,"26-39","Non Wearing Seatbelts",43,"NSW"
2024,"26-39","Speed Fines",639,"NSW"
2024,"26-39","Unlicensed Driving",24,"NSW"
2024,"40-64","Mobile Phone Use",3,"NSW"
2024,"40-64","Non Wearing Seatbelts",20,"NSW"
2024,"40-64","Speed Fines",732,"NSW"
2024,"40-64","Unlicensed Driving",13,"NSW"
2024,"65 and over","Mobile Phone Use",2,"NSW"
2024,"65 and over","Non Wearing Seatbelts",8,"NSW"
2024,"65 and over","Speed Fines",194,"NSW"
2024,"65 and over","Unlicensed Driving",1,"NSW"
2024,"0-16","Speed Fines",1,"NSW"
2024,"17-25","Mobile Phone Use",1,"NSW"
2024,"17-25","Non Wearing Seatbelts",6,"NSW"
2024,"17-25","Speed Fines",28,"NSW"
2024,"17-25","Unlicensed Driving",0,"NSW"
2024,"26-39","Non Wearing Seatbelts",9,"NSW"
2024,"26-39","Speed Fines",55,"NSW"
2024,"26-39","Unlicensed Driving",2,"NSW"
2024,"40-64","Non Wearing Seatbelts",3,"NSW"
2024,"40-64","Speed Fines",54,"NSW"
2024,"40-64","Unlicensed Driving",1,"NSW"
2024,"65 and over","Non Wearing Seatbelts",3,"NSW"
2024,"65 and over","Speed Fines",21,"NSW"
2024,"0-16","Speed Fines",2,"NSW"
2024,"0-16","Unlicensed Driving",1,"NSW"
2024,"17-25","Mobile Phone Use",12,"NSW"
2024,"17-25","Non Wearing Seatbelts",11,"NSW"
2024,"17-25","Speed Fines",96,"NSW"
2024,"17-25","Unlicensed Driving",6,"NSW"
2024,"26-39","Mobile Phone Use",14,"NSW"
2024,"26-39","Non Wearing Seatbelts",17,"NSW"
2024,"26-39","Speed Fines",136,"NSW"
2024,"26-39","Unlicensed Driving",18,"NSW"
2024,"40-64","Mobile Phone Use",10,"NSW"
2024,"40-64","Non Wearing Seatbelts",15,"NSW"
2024,"40-64","Speed Fines",126,"NSW"
2024,"40-64","Unlicensed Driving",8,"NSW"
2024,"65 and over","Mobile Phone Use",2,"NSW"
2024,"65 and over","Non Wearing Seatbelts",3,"NSW"
2024,"65 and over","Speed Fines",26,"NSW"
2024,"65 and over","Unlicensed Driving",0,"NSW"
2024,"0-16","Unlicensed Driving",0,"NSW"
2024,"17-25","Non Wearing Seatbelts",1,"NSW"
2024,"17-25","Speed Fines",2,"NSW"
2024,"17-25","Unlicensed Driving",0,"NSW"
2024,"26-39","Non Wearing Seatbelts",2,"NSW"
2024,"26-39","Speed Fines",4,"NSW"
2024,"26-39","Unlicensed Driving",0,"NSW"
2024,"40-64","Non Wearing Seatbelts",1,"NSW"
2024,"40-64","Speed Fines",5,"NSW"
2024,"40-64","Unlicensed Driving",1,"NSW"
2024,"65 and over","Unlicensed Driving",0,"NSW"
2024,"0-16","Non Wearing Seatbelts",0,"NT"
2024,"0-16","Speed Fines",3,"NT"
2024,"0-16","Speed Fines",0,"NT"
2024,"0-16","Speed Fines",2,"NT"
2024,"0-16","Unlicensed Driving",0,"NT"
2024,"17-25","Mobile Phone Use",1,"NT"
2024,"17-25","Non Wearing Seatbelts",6,"NT"
2024,"17-25","Speed Fines",84,"NT"
2024,"17-25","Speed Fines",460,"NT"
2024,"17-25","Speed Fines",0,"NT"
2024,"17-25","Speed Fines",34,"NT"
2024,"17-25","Unlicensed Driving",0,"NT"
2024,"26-39","Mobile Phone Use",6,"NT"
2024,"26-39","Non Wearing Seatbelts",17,"NT"
2024,"26-39","Speed Fines",380,"NT"
2024,"26-39","Speed Fines",1254,"NT"
2024,"26-39","Speed Fines",0,"NT"
2024,"26-39","Speed Fines",46,"NT"
2024,"26-39","Unlicensed Driving",6,"NT"
2024,"40-64","Mobile Phone Use",1,"NT"
2024,"40-64","Non Wearing Seatbelts",13,"NT"
2024,"40-64","Speed Fines",511,"NT"
2024,"40-64","Speed Fines",1575,"NT"
2024,"40-64","Speed Fines",0,"NT"
2024,"40-64","Speed Fines",45,"NT"
2024,"40-64","Unlicensed Driving",7,"NT"
2024,"65 and over","Non Wearing Seatbelts",1,"NT"
2024,"65 and over","Speed Fines",83,"NT"
2024,"65 and over","Speed Fines",381,"NT"
2024,"65 and over","Speed Fines",0,"NT"
2024,"65 and over","Speed Fines",5,"NT"
2024,"0-16","Mobile Phone Use",162,"QLD"
2024,"0-16","Mobile Phone Use",2,"QLD"
2024,"0-16","Non Wearing Seatbelts",42,"QLD"
2024,"0-16","Speed Fines",602,"QLD"
2024,"0-16","Speed Fines",748,"QLD"
2024,"0-16","Speed Fines",4,"QLD"
2024,"0-16","Unlicensed Driving",59,"QLD"
2024,"17-25","Mobile Phone Use",864,"QLD"
2024,"17-25","Mobile Phone Use",64,"QLD"
2024,"17-25","Non Wearing Seatbelts",386,"QLD"
2024,"17-25","Non Wearing Seatbelts",99,"QLD"
2024,"17-25","Speed Fines",2530,"QLD"
2024,"17-25","Speed Fines",5118,"QLD"
2024,"17-25","Speed Fines",1991,"QLD"
2024,"17-25","Unlicensed Driving",622,"QLD"
2024,"26-39","Mobile Phone Use",2545,"QLD"
2024,"26-39","Mobile Phone Use",105,"QLD"
2024,"26-39","Non Wearing Seatbelts",1150,"QLD"
2024,"26-39","Non Wearing Seatbelts",116,"QLD"
2024,"26-39","Speed Fines",6221,"QLD"
2024,"26-39","Speed Fines",10612,"QLD"
2024,"26-39","Speed Fines",2825,"QLD"
2024,"26-39","Unlicensed Driving",1013,"QLD"
2024,"40-64","Mobile Phone Use",2472,"QLD"
2024,"40-64","Mobile Phone Use",53,"QLD"
2024,"40-64","Non Wearing Seatbelts",1157,"QLD"
2024,"40-64","Non Wearing Seatbelts",93,"QLD"
2024,"40-64","Speed Fines",9251,"QLD"
2024,"40-64","Speed Fines",15185,"QLD"
2024,"40-64","Speed Fines",3245,"QLD"
2024,"40-64","Unlicensed Driving",578,"QLD"
2024,"65 and over","Mobile Phone Use",318,"QLD"
2024,"65 and over","Mobile Phone Use",7,"QLD"
2024,"65 and over","Non Wearing Seatbelts",247,"QLD"
2024,"65 and over","Non Wearing Seatbelts",14,"QLD"
2024,"65 and over","Speed Fines",2350,"QLD"
2024,"65 and over","Speed Fines",3861,"QLD"
2024,"65 and over","Speed Fines",636,"QLD"
2024,"65 and over","Unlicensed Driving",30,"QLD"
2024,"0-16","Non Wearing Seatbelts",1,"SA"
2024,"17-25","Mobile Phone Use",1,"SA"
2024,"17-25","Non Wearing Seatbelts",7,"SA"
2024,"17-25","Speed Fines",47,"SA"
2024,"17-25","Speed Fines",150,"SA"
2024,"17-25","Speed Fines",165,"SA"
2024,"26-39","Mobile Phone Use",1,"SA"
2024,"26-39","Non Wearing Seatbelts",13,"SA"
2024,"26-39","Speed Fines",95,"SA"
2024,"26-39","Speed Fines",408,"SA"
2024,"26-39","Speed Fines",374,"SA"
2024,"40-64","Mobile Phone Use",2,"SA"
2024,"40-64","Non Wearing Seatbelts",21,"SA"
2024,"40-64","Speed Fines",123,"SA"
2024,"40-64","Speed Fines",744,"SA"
2024,"40-64","Speed Fines",443,"SA"
2024,"65 and over","Non Wearing Seatbelts",7,"SA"
2024,"65 and over","Speed Fines",46,"SA"
2024,"65 and over","Speed Fines",310,"SA"
2024,"65 and over","Speed Fines",139,"SA"
2024,"65 and over","Unlicensed Driving",4,"SA"
2024,"0-16","Non Wearing Seatbelts",2,"SA"
2024,"0-16","Speed Fines",1,"SA"
2024,"0-16","Speed Fines",1,"SA"
2024,"17-25","Mobile Phone Use",32,"SA"
2024,"17-25","Non Wearing Seatbelts",30,"SA"
2024,"17-25","Speed Fines",399,"SA"
2024,"17-25","Speed Fines",549,"SA"
2024,"17-25","Speed Fines",228,"SA"
2024,"26-39","Mobile Phone Use",55,"SA"
2024,"26-39","Non Wearing Seatbelts",32,"SA"
2024,"26-39","Speed Fines",998,"SA"
2024,"26-39","Speed Fines",1369,"SA"
2024,"26-39","Speed Fines",333,"SA"
2024,"40-64","Mobile Phone Use",42,"SA"
2024,"40-64","Non Wearing Seatbelts",42,"SA"
2024,"40-64","Speed Fines",2158,"SA"
2024,"40-64","Speed Fines",2301,"SA"
2024,"40-64","Speed Fines",392,"SA"
2024,"65 and over","Mobile Phone Use",6,"SA"
2024,"65 and over","Non Wearing Seatbelts",24,"SA"
2024,"65 and over","Speed Fines",918,"SA"
2024,"65 and over","Speed Fines",721,"SA"
2024,"65 and over","Speed Fines",95,"SA"
2024,"65 and over","Unlicensed Driving",12,"SA"
2024,"0-16","Non Wearing Seatbelts",1,"SA"
2024,"0-16","Speed Fines",1,"SA"
2024,"17-25","Mobile Phone Use",1,"SA"
2024,"17-25","Non Wearing Seatbelts",12,"SA"
2024,"17-25","Speed Fines",30,"SA"
2024,"17-25","Speed Fines",48,"SA"
2024,"17-25","Speed Fines",184,"SA"
2024,"26-39","Non Wearing Seatbelts",13,"SA"
2024,"26-39","Speed Fines",57,"SA"
2024,"26-39","Speed Fines",161,"SA"
2024,"26-39","Speed Fines",369,"SA"
2024,"40-64","Mobile Phone Use",1,"SA"
2024,"40-64","Non Wearing Seatbelts",15,"SA"
2024,"40-64","Speed Fines",74,"SA"
2024,"40-64","Speed Fines",282,"SA"
2024,"40-64","Speed Fines",458,"SA"
2024,"65 and over","Non Wearing Seatbelts",7,"SA"
2024,"65 and over","Speed Fines",15,"SA"
2024,"65 and over","Speed Fines",128,"SA"
2024,"65 and over","Speed Fines",110,"SA"
2024,"65 and over","Unlicensed Driving",4,"SA"
2024,"17-25","Non Wearing Seatbelts",2,"SA"
2024,"17-25","Speed Fines",7,"SA"
2024,"17-25","Speed Fines",40,"SA"
2024,"26-39","Mobile Phone Use",1,"SA"
2024,"26-39","Non Wearing Seatbelts",4,"SA"
2024,"26-39","Speed Fines",12,"SA"
2024,"26-39","Speed Fines",70,"SA"
2024,"40-64","Non Wearing Seatbelts",4,"SA"
2024,"40-64","Speed Fines",31,"SA"
2024,"40-64","Speed Fines",74,"SA"
2024,"65 and over","Non Wearing Seatbelts",5,"SA"
2024,"65 and over","Speed Fines",5,"SA"
2024,"65 and over","Speed Fines",13,"SA"
2024,"65 and over","Unlicensed Driving",0,"SA"
2024,"0-16","Unlicensed Driving",0,"SA"
2024,"17-25","Mobile Phone Use",1,"SA"
2024,"17-25","Speed Fines",16,"SA"
2024,"17-25","Unlicensed Driving",0,"SA"
2024,"26-39","Speed Fines",29,"SA"
2024,"26-39","Unlicensed Driving",0,"SA"
2024,"40-64","Non Wearing Seatbelts",1,"SA"
2024,"40-64","Speed Fines",45,"SA"
2024,"40-64","Unlicensed Driving",0,"SA"
2024,"65 and over","Non Wearing Seatbelts",1,"SA"
2024,"65 and over","Speed Fines",10,"SA"
2024,"65 and over","Unlicensed Driving",0,"SA"
2024,"17-25","Non Wearing Seatbelts",1,"SA"
2024,"17-25","Speed Fines",19,"SA"
2024,"26-39","Non Wearing Seatbelts",7,"SA"
2024,"26-39","Speed Fines",37,"SA"
2024,"40-64","Non Wearing Seatbelts",5,"SA"
2024,"40-64","Speed Fines",50,"SA"
2024,"65 and over","Non Wearing Seatbelts",1,"SA"
2024,"65 and over","Speed Fines",8,"SA"
2024,"0-16","Non Wearing Seatbelts",1,"TAS"
2024,"0-16","Unlicensed Driving",0,"TAS"
2024,"17-25","Mobile Phone Use",10,"TAS"
2024,"17-25","Mobile Phone Use",37,"TAS"
2024,"17-25","Non Wearing Seatbelts",50,"TAS"
2024,"17-25","Non Wearing Seatbelts",18,"TAS"
2024,"17-25","Speed Fines",657,"TAS"
2024,"17-25","Speed Fines",348,"TAS"
2024,"17-25","Unlicensed Driving",6,"TAS"
2024,"26-39","Mobile Phone Use",77,"TAS"
2024,"26-39","Mobile Phone Use",44,"TAS"
2024,"26-39","Non Wearing Seatbelts",146,"TAS"
2024,"26-39","Non Wearing Seatbelts",30,"TAS"
2024,"26-39","Speed Fines",1655,"TAS"
2024,"26-39","Speed Fines",543,"TAS"
2024,"26-39","Unlicensed Driving",16,"TAS"
2024,"40-64","Mobile Phone Use",50,"TAS"
2024,"40-64","Mobile Phone Use",36,"TAS"
2024,"40-64","Non Wearing Seatbelts",143,"TAS"
2024,"40-64","Non Wearing Seatbelts",27,"TAS"
2024,"40-64","Speed Fines",2471,"TAS"
2024,"40-64","Speed Fines",649,"TAS"
2024,"40-64","Unlicensed Driving",7,"TAS"
2024,"65 and over","Mobile Phone Use",9,"TAS"
2024,"65 and over","Mobile Phone Use",10,"TAS"
2024,"65 and over","Non Wearing Seatbelts",71,"TAS"
2024,"65 and over","Non Wearing Seatbelts",16,"TAS"
2024,"65 and over","Speed Fines",933,"TAS"
2024,"65 and over","Speed Fines",179,"TAS"
2024,"65 and over","Unlicensed Driving",2,"TAS"
2024,"0-16","Mobile Phone Use",0,"VIC"
2024,"0-16","Mobile Phone Use",0,"VIC"
2024,"0-16","Non Wearing Seatbelts",0,"VIC"
2024,"0-16","Non Wearing Seatbelts",0,"VIC"
2024,"0-16","Speed Fines",0,"VIC"
2024,"0-16","Speed Fines",0,"VIC"
2024,"17-25","Mobile Phone Use",0,"VIC"
2024,"17-25","Mobile Phone Use",101,"VIC"
2024,"17-25","Non Wearing Seatbelts",0,"VIC"
2024,"17-25","Non Wearing Seatbelts",64,"VIC"
2024,"17-25","Speed Fines",138,"VIC"
2024,"17-25","Speed Fines",574,"VIC"
2024,"26-39","Mobile Phone Use",0,"VIC"
2024,"26-39","Mobile Phone Use",387,"VIC"
2024,"26-39","Non Wearing Seatbelts",0,"VIC"
2024,"26-39","Non Wearing Seatbelts",217,"VIC"
2024,"26-39","Speed Fines",503,"VIC"
2024,"26-39","Speed Fines",1956,"VIC"
2024,"40-64","Mobile Phone Use",0,"VIC"
2024,"40-64","Mobile Phone Use",502,"VIC"
2024,"40-64","Non Wearing Seatbelts",0,"VIC"
2024,"40-64","Non Wearing Seatbelts",338,"VIC"
2024,"40-64","Speed Fines",882,"VIC"
2024,"40-64","Speed Fines",3176,"VIC"
2024,"65 and over","Mobile Phone Use",0,"VIC"
2024,"65 and over","Mobile Phone Use",85,"VIC"
2024,"65 and over","Non Wearing Seatbelts",0,"VIC"
2024,"65 and over","Non Wearing Seatbelts",124,"VIC"
2024,"65 and over","Speed Fines",377,"VIC"
2024,"65 and over","Speed Fines",1306,"VIC"
2024,"0-16","Mobile Phone Use",0,"VIC"
2024,"0-16","Mobile Phone Use",0,"VIC"
2024,"0-16","Non Wearing Seatbelts",0,"VIC"
2024,"0-16","Non Wearing Seatbelts",0,"VIC"
2024,"0-16","Speed Fines",0,"VIC"
2024,"0-16","Speed Fines",0,"VIC"
2024,"17-25","Mobile Phone Use",0,"VIC"
2024,"17-25","Mobile Phone Use",290,"VIC"
2024,"17-25","Non Wearing Seatbelts",0,"VIC"
2024,"17-25","Non Wearing Seatbelts",260,"VIC"
2024,"17-25","Speed Fines",3335,"VIC"
2024,"17-25","Speed Fines",2263,"VIC"
2024,"26-39","Mobile Phone Use",0,"VIC"
2024,"26-39","Mobile Phone Use",1402,"VIC"
2024,"26-39","Non Wearing Seatbelts",0,"VIC"
2024,"26-39","Non Wearing Seatbelts",1167,"VIC"
2024,"26-39","Speed Fines",12612,"VIC"
2024,"26-39","Speed Fines",8905,"VIC"
2024,"40-64","Mobile Phone Use",0,"VIC"
2024,"40-64","Mobile Phone Use",1884,"VIC"
2024,"40-64","Non Wearing Seatbelts",0,"VIC"
2024,"40-64","Non Wearing Seatbelts",1662,"VIC"
2024,"40-64","Speed Fines",21894,"VIC"
2024,"40-64","Speed Fines",13426,"VIC"
2024,"65 and over","Mobile Phone Use",0,"VIC"
2024,"65 and over","Mobile Phone Use",289,"VIC"
2024,"65 and over","Non Wearing Seatbelts",0,"VIC"
2024,"65 and over","Non Wearing Seatbelts",521,"VIC"
2024,"65 and over","Speed Fines",6792,"VIC"
2024,"65 and over","Speed Fines",4162,"VIC"
2024,"0-16","Mobile Phone Use",0,"VIC"
2024,"0-16","Mobile Phone Use",0,"VIC"
2024,"0-16","Non Wearing Seatbelts",0,"VIC"
2024,"0-16","Non Wearing Seatbelts",0,"VIC"
2024,"0-16","Speed Fines",0,"VIC"
2024,"0-16","Speed Fines",0,"VIC"
2024,"17-25","Mobile Phone Use",0,"VIC"
2024,"17-25","Mobile Phone Use",0,"VIC"
2024,"17-25","Non Wearing Seatbelts",0,"VIC"
2024,"17-25","Non Wearing Seatbelts",0,"VIC"
2024,"17-25","Speed Fines",5,"VIC"
2024,"17-25","Speed Fines",101,"VIC"
2024,"26-39","Mobile Phone Use",0,"VIC"
2024,"26-39","Mobile Phone Use",0,"VIC"
2024,"26-39","Non Wearing Seatbelts",0,"VIC"
2024,"26-39","Non Wearing Seatbelts",0,"VIC"
2024,"26-39","Speed Fines",7,"VIC"
2024,"26-39","Speed Fines",354,"VIC"
2024,"40-64","Mobile Phone Use",0,"VIC"
2024,"40-64","Mobile Phone Use",0,"VIC"
2024,"40-64","Non Wearing Seatbelts",0,"VIC"
2024,"40-64","Non Wearing Seatbelts",0,"VIC"
2024,"40-64","Speed Fines",19,"VIC"
2024,"40-64","Speed Fines",636,"VIC"
2024,"65 and over","Mobile Phone Use",0,"VIC"
2024,"65 and over","Mobile Phone Use",0,"VIC"
2024,"65 and over","Non Wearing Seatbelts",0,"VIC"
2024,"65 and over","Non Wearing Seatbelts",0,"VIC"
2024,"65 and over","Speed Fines",6,"VIC"
2024,"65 and over","Speed Fines",231,"VIC"
2024,"0-16","Mobile Phone Use",0,"VIC"
2024,"0-16","Mobile Phone Use",0,"VIC"
2024,"0-16","Non Wearing Seatbelts",0,"VIC"
2024,"0-16","Non Wearing Seatbelts",0,"VIC"
2024,"0-16","Speed Fines",0,"VIC"
2024,"0-16","Speed Fines",0,"VIC"
2024,"17-25","Mobile Phone Use",0,"VIC"
2024,"17-25","Mobile Phone Use",0,"VIC"
2024,"17-25","Non Wearing Seatbelts",0,"VIC"
2024,"17-25","Non Wearing Seatbelts",0,"VIC"
2024,"17-25","Speed Fines",0,"VIC"
2024,"17-25","Speed Fines",0,"VIC"
2024,"26-39","Mobile Phone Use",0,"VIC"
2024,"26-39","Mobile Phone Use",0,"VIC"
2024,"26-39","Non Wearing Seatbelts",0,"VIC"
2024,"26-39","Non Wearing Seatbelts",0,"VIC"
2024,"26-39","Speed Fines",0,"VIC"
2024,"26-39","Speed Fines",0,"VIC"
2024,"40-64","Mobile Phone Use",0,"VIC"
